price_m2,price,m2,location
57520元/㎡,400万,69.54㎡,"吴东小区
徐家汇 吴中东路500弄"
74229元/㎡,1100万,148.19㎡,"泰德花苑
徐家汇 裕德路92弄18号"
83616元/㎡,590万,70.56㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
78328元/㎡,780万,99.58㎡,"庆余公寓
徐家汇 徐虹北路22弄"
80285元/㎡,450万,56.05㎡,"番南小区
徐家汇 番南小区"
95216元/㎡,420万,44.11㎡,"东方时空公寓
徐家汇 番禺路1099弄"
105820元/㎡,800万,75.6㎡,"名仕苑
徐家汇 广元西路98号、广元西路108号"
64581元/㎡,700万,108.39㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
103121元/㎡,1480万,143.52㎡,"徐虹华庭
徐家汇 徐虹北路5弄"
93765元/㎡,370万,39.46㎡,"南丹小区
徐家汇 南丹小区"
74326元/㎡,830万,111.67㎡,"实业公寓
徐家汇 漕溪北路28号、漕溪北路38号"
97519元/㎡,1160万,118.95㎡,"阳光名邸
徐家汇 凯旋路1688弄"
85083元/㎡,320万,37.61㎡,"番南小区
徐家汇 番南小区"
98922元/㎡,698万,70.56㎡,"明华苑
徐家汇 南丹路138弄"
97404元/㎡,1430万,146.81㎡,"徐家汇景园
徐家汇 徐虹北路18弄"
59829元/㎡,700万,117㎡,"嘉汇广场
徐家汇 斜土路2601-2611号"
111058元/㎡,1400万,126.06㎡,"名仕苑
徐家汇 广元西路98号、广元西路108号"
62489元/㎡,750万,120.02㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
92617元/㎡,1400万,151.16㎡,"阳光名邸
徐家汇 凯旋路1688弄"
80887元/㎡,350万,43.27㎡,"柿子湾小区
徐家汇 宜山路220弄、宜山路250弄"
103873元/㎡,1180万,113.6㎡,"鑫国家园
徐家汇 零陵路777弄"
87064元/㎡,350万,40.2㎡,"凯旋一村
徐家汇 凯旋一村1-37号"
94339元/㎡,400万,42.4㎡,"南丹路128弄小区
徐家汇 南丹路128弄"
74781元/㎡,900万,120.35㎡,"裕德大厦
徐家汇 裕德路92弄1-11号"
88144元/㎡,1000万,113.45㎡,"创世纪花园
徐家汇 零陵路789弄"
71451元/㎡,450万,62.98㎡,"虹桥大楼
徐家汇 虹桥路411弄、秀山路7弄、秀山路15弄"
62260元/㎡,860万,138.13㎡,"嘉汇广场
徐家汇 斜土路2601-2611号"
85567元/㎡,450万,52.59㎡,"番南小区
徐家汇 番南小区"
95962元/㎡,1350万,140.68㎡,"创世纪花园
徐家汇 零陵路789弄"
75872元/㎡,500万,65.9㎡,"南宜花苑
徐家汇 宜山路408弄1-22号"
83809元/㎡,880万,105㎡,"凯旋花苑
徐家汇 中漕路111号"
