price_m2,price,m2,location
97897元/㎡,745万,76.1㎡,龙华 云锦路50弄1-58号、云锦路80弄
77436元/㎡,720万,92.98㎡,龙华 龙吴路288弄
89626元/㎡,1150万,128.31㎡,龙华 宾阳路28弄
91799元/㎡,750万,81.7㎡,龙华 龙吴路15弄1-9号
88023元/㎡,1500万,170.41㎡,龙华 云锦路183弄
70227元/㎡,330万,46.99㎡,龙华 三江路301弄
93750元/㎡,915万,97.6㎡,龙华 三江路88弄
143151元/㎡,3200万,223.54㎡,龙华 尚海湾豪庭
159625元/㎡,4700万,294.44㎡,龙华 东安路800号
148676元/㎡,3500万,235.41㎡,龙华 瑞宁路908弄
72639元/㎡,750万,103.25㎡,龙华 田东路69弄
160844元/㎡,1920万,119.37㎡,龙华 尚海湾豪庭
97697元/㎡,1400万,143.3㎡,龙华 三江路88弄
101740元/㎡,1280万,125.81㎡,龙华 田东路258弄、漕东支路218弄
144046元/㎡,900万,62.48㎡,龙华 尚海湾豪庭
122858元/㎡,2180万,177.44㎡,龙华 尚海湾豪庭
113513元/㎡,1050万,92.5㎡,龙华 宾阳路28弄
89020元/㎡,600万,67.4㎡,龙华 云锦路185弄1-13号
106592元/㎡,1300万,121.96㎡,龙华 田东路258弄、漕东支路218弄
91565元/㎡,888万,96.98㎡,龙华 三江路88弄
135584元/㎡,1598万,117.86㎡,龙华 宾阳路18弄(沪闵路路口)
103923元/㎡,2000万,192.45㎡,龙华 尚海湾豪庭
92232元/㎡,1280万,138.78㎡,龙华 天钥桥路968弄
66730元/㎡,280万,41.96㎡,龙华 龙漕路51弄2号
171083元/㎡,2550万,149.05㎡,龙华 东安路800号
96296元/㎡,1300万,135㎡,龙华 尚海湾豪庭
76950元/㎡,1088万,141.39㎡,龙华 田东路69弄
84727元/㎡,790万,93.24㎡,龙华 天钥桥路907弄
190322元/㎡,2950万,155㎡,龙华 宛平南路1188号
66935元/㎡,498万,74.4㎡,龙华 田东路70号、田东路76号、田东路78号
150536元/㎡,2680万,178.03㎡,龙华 宾阳路18弄(沪闵路路口)
168085元/㎡,3100万,184.43㎡,龙华 云锦路183弄
70344元/㎡,700万,99.51㎡,龙华 龙华路3166弄
149642元/㎡,3100万,207.16㎡,龙华 宛平南路1188号
87938元/㎡,888万,100.98㎡,龙华 宾阳路28弄
135933元/㎡,3200万,235.41㎡,龙华 瑞宁路908弄
82033元/㎡,968万,118㎡,龙华 田东路377弄
99293元/㎡,1350万,135.96㎡,龙华 龙华路3208弄1-32号
135451元/㎡,1330万,98.19㎡,龙华 宾阳路18弄、宾南路19弄
135599元/㎡,2250万,165.93㎡,龙华 尚海湾豪庭
71933元/㎡,600万,83.41㎡,龙华 漕溪路125弄
88183元/㎡,1200万,136.08㎡,龙华 龙华路2518弄1-78号
68251元/㎡,468万,68.57㎡,龙华 宛平南路15号
86295元/㎡,670万,77.64㎡,龙华 金龙花苑牡丹园
65963元/㎡,350万,53.06㎡,龙华 龙华路2501弄
84889元/㎡,1168万,137.59㎡,龙华 龙华路2518弄1-78号
93311元/㎡,738万,79.09㎡,龙华 金龙花苑牡丹园
67729元/㎡,680万,100.4㎡,龙华 龙华西路315弄
97897元/㎡,745万,76.1㎡,龙华 云锦路50弄1-58号、云锦路80弄
89621元/㎡,1000万,111.58㎡,龙华 龙华西路591弄
148676元/㎡,3500万,235.41㎡,龙华 瑞宁路908弄
70304元/㎡,670万,95.3㎡,龙华 中山南二路777弄
83451元/㎡,590万,70.7㎡,龙华 龙吴路338弄
69021元/㎡,600万,86.93㎡,龙华 龙漕路58弄
120367元/㎡,2280万,189.42㎡,龙华 云锦路183弄
85972元/㎡,228万,26.52㎡,龙华 宛南二村
73908元/㎡,298万,40.32㎡,龙华 漕东路250号
129899元/㎡,1750万,134.72㎡,龙华 宾阳路18弄(沪闵路路口)
74418元/㎡,880万,118.25㎡,龙华 龙恒路280弄
228312元/㎡,10888万,476.89㎡,龙华 龙兰路388弄、龙兰路399弄
116780元/㎡,1760万,150.71㎡,龙华 宾阳路18弄(沪闵路路口)
65437元/㎡,259万,39.58㎡,龙华 漕东支路438弄
54929元/㎡,780万,142㎡,龙华 三江路88弄
99767元/㎡,1075万,107.75㎡,龙华 龙华路2518弄1-78号
100419元/㎡,837万,83.35㎡,龙华 南宁路501弄
76455元/㎡,440万,57.55㎡,龙华 龙华西路31弄1-51号
98774元/㎡,1346万,136.27㎡,龙华 龙华路2518弄1-78号
188877元/㎡,8888万,470.57㎡,龙华 龙兰路388弄、龙兰路399弄
69886元/㎡,450万,64.39㎡,龙华 漕溪路125弄
72365元/㎡,375万,51.82㎡,龙华 三江路301弄
117346元/㎡,2300万,196㎡,龙华 云锦路183弄
71930元/㎡,900万,125.12㎡,龙华 龙华西路591弄
77836元/㎡,295万,37.9㎡,龙华 漕东路100号
168227元/㎡,2120万,126.02㎡,龙华 云锦路183弄
101759元/㎡,1550万,152.32㎡,龙华 田东路258弄、漕东支路218弄
148913元/㎡,1700万,114.16㎡,龙华 云锦路183弄
93030元/㎡,1280万,137.59㎡,龙华 龙华路2518弄1-78号
76243元/㎡,328万,43.02㎡,龙华 龙吴路11弄
106592元/㎡,1300万,121.96㎡,龙华 田东路258弄、漕东支路218弄
95395元/㎡,665万,69.71㎡,龙华 金龙花苑牡丹园
101783元/㎡,1250万,122.81㎡,龙华 天钥桥路968弄
58277元/㎡,760万,130.41㎡,龙华 漕溪路251弄
172585元/㎡,2600万,150.65㎡,龙华 东安路888弄
69968元/㎡,1150万,164.36㎡,龙华 宾阳路62弄
70259元/㎡,382万,54.37㎡,龙华 三江路301弄
82822元/㎡,270万,32.6㎡,龙华 三江路301弄
91807元/㎡,985万,107.29㎡,龙华 龙华路2518弄1-78号
54240元/㎡,220万,40.56㎡,龙华 漕东路250号
64120元/㎡,450万,70.18㎡,龙华 龙华西路315弄
67064元/㎡,450万,67.1㎡,龙华 徐汇东安路888号
70593元/㎡,465万,65.87㎡,龙华 云锦路50弄1-58号、云锦路80弄
82637元/㎡,900万,108.91㎡,龙华 龙吴路288弄
213697元/㎡,8200万,383.72㎡,龙华 龙启路377弄
89750元/㎡,1000万,111.42㎡,龙华 龙华西路525弄
76997元/㎡,399万,51.82㎡,龙华 三江路301弄
150536元/㎡,2680万,178.03㎡,龙华 宾阳路18弄(沪闵路路口)
79843元/㎡,999万,125.12㎡,龙华 龙华西路591弄
76036元/㎡,950万,124.94㎡,龙华 龙漕路221弄
74074元/㎡,1000万,135㎡,龙华 龙华西路398弄1-3号
114661元/㎡,2300万,200.59㎡,龙华 龙兰路388弄、龙兰路399弄
101127元/㎡,1085万,107.29㎡,龙华 龙华路2518弄1-78号
71961元/㎡,270万,37.52㎡,龙华 漕溪四村50-78号
83298元/㎡,595万,71.43㎡,龙华 金龙花苑牡丹园
97235元/㎡,1298万,133.49㎡,龙华 龙华路2518弄1-78号
106876元/㎡,530万,49.59㎡,龙华 云锦路201弄1-42号
116808元/㎡,770万,65.92㎡,龙华 尚海湾豪庭
64554元/㎡,650万,100.69㎡,龙华 龙华西路315弄
83429元/㎡,798万,95.65㎡,龙华 漕溪路125弄
59811元/㎡,780万,130.41㎡,龙华 漕溪路251弄
67967元/㎡,700万,102.99㎡,龙华 龙漕路51弄3号
45824元/㎡,315万,68.74㎡,龙华 老沪闵路150弄、老沪闵路160弄
91799元/㎡,750万,81.7㎡,龙华 龙吴路15弄1-9号
163357元/㎡,1950万,119.37㎡,龙华 尚海湾豪庭
59090元/㎡,650万,110㎡,龙华 石龙路818弄
52500元/㎡,630万,120㎡,龙华 石龙路818弄
150802元/㎡,2500万,165.78㎡,龙华 龙兰路388弄、龙兰路399弄
124229元/㎡,1230万,99.01㎡,龙华 田东路258弄、漕东支路218弄
54929元/㎡,780万,142㎡,龙华 三江路88弄
77925元/㎡,305万,39.14㎡,龙华 上缝小区
115575元/㎡,1260万,109.02㎡,龙华 宾阳路18弄、宾南路19弄
86000元/㎡,1290万,150㎡,龙华 三江路88弄
58823元/㎡,458万,77.86㎡,龙华 龙漕路135弄
90448元/㎡,500万,55.28㎡,龙华 金龙花苑牡丹园
142560元/㎡,1650万,115.74㎡,龙华 尚海湾豪庭
69886元/㎡,450万,64.39㎡,龙华 漕溪路125弄
77738元/㎡,660万,84.9㎡,龙华 龙华西路398弄1-3号
93750元/㎡,915万,97.6㎡,龙华 三江路88弄
116808元/㎡,770万,65.92㎡,龙华 尚海湾豪庭
100040元/㎡,750万,74.97㎡,龙华 龙华西路机场新村1-30号
108905元/㎡,1300万,119.37㎡,龙华 尚海湾豪庭
137083元/㎡,2900万,211.55㎡,龙华 尚海湾豪庭
127448元/㎡,1438万,112.83㎡,龙华 云锦路183弄
156084元/㎡,3100万,198.61㎡,龙华 徐汇东安路888号
107735元/㎡,2188万,203.09㎡,龙华 龙华路3208弄1-32号
82720元/㎡,450万,54.4㎡,龙华 龙华路1881弄
106471元/㎡,3200万,300.55㎡,龙华 尚海湾豪庭
135584元/㎡,1598万,117.86㎡,龙华 宾阳路18弄(沪闵路路口)
125796元/㎡,849万,67.49㎡,龙华 龙华路2518弄1-78号
88355元/㎡,280万,31.69㎡,龙华 天钥桥路905弄
150000元/㎡,3000万,200㎡,龙华 龙兰路388弄、龙兰路399弄
97897元/㎡,745万,76.1㎡,龙华 云锦路50弄1-58号、云锦路80弄
94869元/㎡,980万,103.3㎡,龙华 龙吴路288弄
75964元/㎡,378万,49.76㎡,龙华 宛平南路905弄
89700元/㎡,1268万,141.36㎡,龙华 龙华路3208弄1-32号
94088元/㎡,1200万,127.54㎡,龙华 龙吴路288弄
122584元/㎡,1180万,96.26㎡,龙华 云锦路183弄
145439元/㎡,1400万,96.26㎡,龙华 云锦路183弄
101250元/㎡,1498万,147.95㎡,龙华 三江路88弄
91718元/㎡,1380万,150.46㎡,龙华 田东路258弄、漕东支路218弄
148913元/㎡,1700万,114.16㎡,龙华 云锦路183弄
76932元/㎡,650万,84.49㎡,龙华 龙漕路58弄
74376元/㎡,510万,68.57㎡,龙华 宛平南路15号
78148元/㎡,1050万,134.36㎡,龙华 田东路258弄、漕东支路218弄
127244元/㎡,1460万,114.74㎡,龙华 云锦路183弄
82815元/㎡,933万,112.66㎡,龙华 三江路88弄
95541元/㎡,1260万,131.88㎡,龙华 田东路258弄、漕东支路218弄
87887元/㎡,1158万,131.76㎡,龙华 宛平南路921弄
70830元/㎡,550万,77.65㎡,龙华 龙华西路315弄
77792元/㎡,420万,53.99㎡,龙华 漕溪四村50-78号
70364元/㎡,340万,48.32㎡,龙华 龙漕路235弄
76923元/㎡,365万,47.45㎡,龙华 三江路301弄
78671元/㎡,1343万,170.71㎡,龙华 三江路88弄
156239元/㎡,2380万,152.33㎡,龙华 宾阳路18弄(沪闵路路口)
153588元/㎡,3300万,214.86㎡,龙华 东安路888弄
58972元/㎡,560万,94.96㎡,龙华 龙漕路51弄2号
86000元/㎡,1166万,135.58㎡,龙华 龙华路2518弄1-78号
