rent,m2,location
5500元/月,53㎡,徐汇-康健-冠生园路237弄小区
4800元/月,52㎡,徐汇-康健-寿昌坊
4000元/月,42㎡,徐汇-康健-长丰坊
3500元/月,34㎡,徐汇-康健-师大新村
17000元/月,144㎡,徐汇-康健-康健星辰
4200元/月,50㎡,徐汇-康健-寿德坊
3300元/月,42㎡,徐汇-康健-寿山坊
4800元/月,50㎡,徐汇-康健-桂竹香公寓
3800元/月,40㎡,徐汇-康健-康宁坊
4500元/月,39㎡,徐汇-康健-康健路120弄小区
13800元/月,101㎡,徐汇-康健-汇樾庭
5000元/月,46㎡,徐汇-康健-康健路341弄小区
5500元/月,74㎡,徐汇-康健-花苑村丁香园
3300元/月,34㎡,徐汇-康健-寿祥坊
4000元/月,44㎡,徐汇-康健-康乐小区(徐汇)
4500元/月,54㎡,徐汇-康健-寿昌坊
4500元/月,44㎡,徐汇-康健-花苑村丁香园
5350元/月,59㎡,徐汇-康健-寿昌坊
3899元/月,42㎡,徐汇-康健-康宁坊
5500元/月,46㎡,徐汇-康健-紫竹园
5000元/月,77㎡,徐汇-康健-康乐小区(徐汇)
15000元/月,101㎡,徐汇-康健-汇樾庭
3700元/月,45㎡,徐汇-康健-花苑村茶花园
3800元/月,44㎡,徐汇-康健-长兴坊
15500元/月,95㎡,徐汇-康健-汇樾庭
3800元/月,40㎡,徐汇-康健-康宁坊
8000元/月,99㎡,徐汇-康健-金桂苑
2900元/月,57㎡,徐汇-康健-东兰小区
11000元/月,99㎡,徐汇-康健-海上名门
13800元/月,101㎡,徐汇-康健-汇樾庭
3200元/月,49㎡,徐汇-康健-古美小区
4600元/月,64㎡,徐汇-康健-钦州南路300弄小区
4300元/月,44㎡,徐汇-康健-花苑村丁香园
5200元/月,48㎡,徐汇-康健-花苑村东樱花园
5600元/月,55㎡,徐汇-康健-长丰坊
14500元/月,145㎡,徐汇-康健-海上名门
5000元/月,61㎡,徐汇-康健-徐汇天悦
5600元/月,58㎡,徐汇-康健-东兰小区
5800元/月,45㎡,徐汇-康健-九弄小区
9000元/月,126㎡,徐汇-康健-百合花苑
3100元/月,44㎡,徐汇-康健-长青坊
9800元/月,125㎡,徐汇-康健-迎春园
4700元/月,68㎡,徐汇-康健-花苑村丁香园
14000元/月,136㎡,徐汇-康健-康健星辰
17000元/月,134㎡,徐汇-康健-中星虹漕公寓
10000元/月,136㎡,徐汇-康健-中星虹漕公寓
3000元/月,30㎡,徐汇-康健-寿山坊
5980元/月,80㎡,徐汇-康健-寿益坊
15000元/月,152㎡,徐汇-康健-中星海上华庭
12000元/月,126㎡,徐汇-康健-百合花苑
4000元/月,48㎡,徐汇-康健-寿德坊
13000元/月,139㎡,徐汇-康健-光大会展中心
3900元/月,38㎡,徐汇-康健-康健路100弄小区
2800元/月,82㎡,徐汇-康健-桂莘小区
13000元/月,101㎡,徐汇-康健-汇樾庭
6200元/月,62㎡,徐汇-康健-紫薇园(徐汇)
5000元/月,64㎡,徐汇-康健-花苑村玉兰园
4500元/月,41㎡,徐汇-康健-东兰小区
9800元/月,130㎡,徐汇-康健-中星海上华庭
4500元/月,45㎡,徐汇-康健-冠生园路237弄小区
2900元/月,109㎡,徐汇-康健-泰成花苑
4500元/月,34㎡,徐汇-康健-习勤小区
3500元/月,41㎡,徐汇-康健-茶花园
6000元/月,72㎡,徐汇-康健-师大新村
7200元/月,81㎡,徐汇-康健-桂莘小区
14500元/月,128㎡,徐汇-康健-桂林西街101弄小区
2900元/月,46㎡,徐汇-康健-古美小区
3100元/月,44㎡,徐汇-康健-长青坊
9800元/月,100㎡,徐汇-康健-汇樾庭
2600元/月,38㎡,徐汇-康健-东兰小区
4500元/月,33㎡,徐汇-康健-茶花园
5000元/月,77㎡,徐汇-康健-寿祥坊
5500元/月,61㎡,徐汇-康健-钦州路111弄小区
4500元/月,40㎡,徐汇-康健-东兰小区
5200元/月,52㎡,徐汇-康健-丁香园
4500元/月,43㎡,徐汇-康健-长丰坊
7800元/月,63㎡,徐汇-康健-杜鹃园
5200元/月,57㎡,徐汇-康健-康强坊
7600元/月,75㎡,徐汇-康健-寿祥坊
3990元/月,30㎡,徐汇-康健-长青坊
4000元/月,30㎡,徐汇-康健-长青坊
4400元/月,39㎡,徐汇-康健-薛家宅小区
13500元/月,107㎡,徐汇-康健-中虹汇之苑
5000元/月,46㎡,徐汇-康健-长海坊
5000元/月,43㎡,徐汇-康健-康健路120弄小区
5800元/月,62㎡,徐汇-康健-长青坊
5200元/月,40㎡,徐汇-康健-康乐小区(徐汇)
4500元/月,40㎡,徐汇-康健-寿山坊
4000元/月,30㎡,徐汇-康健-寿祥坊
16500元/月,137㎡,徐汇-康健-中星海上华庭
4500元/月,33㎡,徐汇-康健-寿祥坊
11000元/月,102㎡,徐汇-康健-康惠苑
7200元/月,79㎡,徐汇-康健-科苑新村
7000元/月,78㎡,徐汇-康健-寿祥坊
6200元/月,68㎡,徐汇-康健-师大新村
4100元/月,30㎡,徐汇-康健-漕泾一村
5300元/月,62㎡,徐汇-康健-寿益坊
7400元/月,64㎡,徐汇-康健-长顺坊
6600元/月,60㎡,徐汇-康健-长兴坊
6300元/月,58㎡,徐汇-康健-茶花园
14500元/月,97㎡,徐汇-康健-漕河景苑
12800元/月,97㎡,徐汇-康健-漕河景苑
4300元/月,41㎡,徐汇-康健-长丰坊
4200元/月,40㎡,徐汇-康健-寿山坊
5000元/月,56㎡,徐汇-康健-康乐小区(徐汇)
5890元/月,76㎡,徐汇-康健-丁香园
7400元/月,79㎡,徐汇-康健-欣园新村
5200元/月,54㎡,徐汇-康健-长丰坊
4500元/月,61㎡,徐汇-康健-钦州路111弄小区
4600元/月,38㎡,徐汇-康健-习勤小区
18500元/月,171㎡,徐汇-康健-海上名邸
5200元/月,57㎡,徐汇-康健-紫竹园
7900元/月,52㎡,徐汇-康健-科苑新村
5590元/月,50㎡,徐汇-康健-长顺坊
6600元/月,60㎡,徐汇-康健-长兴坊
4250元/月,34㎡,徐汇-康健-寿祥坊
12000元/月,101㎡,徐汇-康健-中星海上华庭
5300元/月,38㎡,徐汇-康健-康乐小区(徐汇)
4800元/月,45㎡,徐汇-康健-西樱花园
13000元/月,101㎡,徐汇-康健-中星海上华庭
5655元/月,65㎡,徐汇-康健-玉兰园
5300元/月,48㎡,徐汇-康健-康强坊
4930元/月,38㎡,徐汇-康健-九弄小区
5500元/月,74㎡,徐汇-康健-紫薇园(徐汇)
5460元/月,52㎡,徐汇-康健-寿祥坊
4500元/月,43㎡,徐汇-康健-钦州南路300弄小区
6590元/月,61㎡,徐汇-康健-寿山坊
5630元/月,51㎡,徐汇-康健-钦州南路300弄小区
4450元/月,41㎡,徐汇-康健-长丰坊
5800元/月,66㎡,徐汇-康健-桂平小区
6200元/月,84㎡,徐汇-康健-钦州路111弄小区
5300元/月,61㎡,徐汇-康健-花苑村桂花园
23000元/月,180㎡,徐汇-康健-海上名门
7300元/月,58㎡,徐汇-康健-师大新村
8500元/月,70㎡,徐汇-康健-桂平小区
8100元/月,99㎡,徐汇-康健-金桂苑
4500元/月,33㎡,徐汇-康健-寿祥坊
4800元/月,55㎡,徐汇-康健-康强坊
6000元/月,55㎡,徐汇-康健-长丰坊
14500元/月,98㎡,徐汇-康健-漕河景苑
28000元/月,174㎡,徐汇-康健-海上名邸
4730元/月,40㎡,徐汇-康健-长海坊
4900元/月,53㎡,徐汇-康健-康乐小区(徐汇)
100000元/月,425㎡,徐汇-康健-玫瑰园
5200元/月,47㎡,徐汇-康健-长青坊
6200元/月,68㎡,徐汇-康健-师大新村
4800元/月,48㎡,徐汇-康健-康乐小区(徐汇)
6000元/月,92㎡,徐汇-康健-月季园
7200元/月,85㎡,徐汇-康健-桂平小区
6100元/月,54㎡,徐汇-康健-康健路120弄小区
4800元/月,58㎡,徐汇-康健-紫薇园(徐汇)
7600元/月,62㎡,徐汇-康健-康强坊
5100元/月,40㎡,徐汇-康健-寿山坊
6300元/月,76㎡,徐汇-康健-寿祥坊
5700元/月,48㎡,徐汇-康健-健安坊
7000元/月,60㎡,徐汇-康健-康强坊
5800元/月,77㎡,徐汇-康健-玉兰园
5200元/月,63㎡,徐汇-康健-玉兰园
4500元/月,36㎡,徐汇-康健-康乐小区(徐汇)
7800元/月,74㎡,徐汇-康健-科苑新村
5600元/月,53㎡,徐汇-康健-康宁坊
6090元/月,63㎡,徐汇-康健-寿山坊
6539元/月,48㎡,徐汇-康健-桂康小区
4000元/月,30㎡,徐汇-康健-寿祥坊
4800元/月,33㎡,徐汇-康健-茶花园
4000元/月,38㎡,徐汇-康健-康乐小区(徐汇)
4790元/月,41㎡,徐汇-康健-康宁坊
5500元/月,52㎡,徐汇-康健-科苑新村
7500元/月,85㎡,徐汇-康健-桂平小区
6000元/月,58㎡,徐汇-康健-康健路100弄小区
14000元/月,126㎡,徐汇-康健-中虹汇之苑
3900元/月,43㎡,徐汇-康健-花苑村桂花园
4200元/月,35㎡,徐汇-康健-科苑新村
5500元/月,58㎡,徐汇-康健-长顺坊
4800元/月,55㎡,徐汇-康健-寿祥坊
4500元/月,40㎡,徐汇-康健-寿山坊
5500元/月,55㎡,徐汇-康健-寿祥坊
5200元/月,58㎡,徐汇-康健-寿德坊
7800元/月,135㎡,徐汇-康健-圣骊家园
14500元/月,97㎡,徐汇-康健-漕河景苑
5630元/月,33㎡,徐汇-康健-漕泾一村
42000元/月,208㎡,徐汇-康健-牡丹园别墅
5000元/月,38㎡,徐汇-康健-康健路100弄小区
5500元/月,57㎡,徐汇-康健-西樱花园
4590元/月,38㎡,徐汇-康健-寿昌坊
13500元/月,157㎡,徐汇-康健-梓树园
6300元/月,58㎡,徐汇-康健-茶花园
16000元/月,133㎡,徐汇-康健-中海馨园
5200元/月,50㎡,徐汇-康健-康乐小区(徐汇)
4500元/月,55㎡,徐汇-康健-康强坊
